不雜,མ་འདྲེས་པ
念慧,དྲན་པའི་བློ
應修清淨,རྣམ་པར་དག་པར་བྱ་བ
諸行寂滅,འདུ་བྱེད་ཉེ་བར་ཞི་བ
非淨妙處,ཚུལ་དང་མི་མཐུན་པའི་གནས
不護根門,དབང་པོ་རྣམས་ཀྱི་སྒོ་མ་བསྡམས་པ་ཉིད
如是名,མིང་འདི་ཞེས་བྱ་བ
空,བཟློག་སྟེ
無誤失,བརྗེད་པ་མེད་པ
飮食衣服活命,ཟས་དང་སྐོམ་དང་གོས་དང་འཚོ་བ
此世他世樂愛語,འདི་དང་གཞན་དུ་བདེ་བར་འགྱུར་བའི་སྙན་པར་སྨྲ་བ
取,བླང་བ
内外諸行聚,ནང་དང་ཕྱི་རོལ་གྱི་འདུ་བྱེད་རྣམས
策心所取,སེམས་རབ་ཏུ་འཛིན་པ
不善,ངན་པ་དང་ལྡན་པ
發精進,བརྩོན་འགྲུས་བརྩམས་པ
不護,མ་བསྡམས་པ
句,རྩ་བ
一分,ལ་ལས
應作不應作事,བྱ་བ་འམ་བྱ་བ་མ་ཡིན་པ
無餘依涅槃界教,ཕུང་པོའི་ལྷག་མ་མེད་པའི་མྱ་ངན་ལས་འདས་པའི་དབྱིངས་བསྟན་པ
加行所生,མངོན་པར་འདུ་བྱས་བསྐྱེད་པ
處,རྟེན་པ
縁,རྐྱེན་དང་བཅས་པ
勝義正法,དོན་དམ་པའི་ཆོས
無攀,མི་དམིགས་པ
爲喜足,ཆོག་པར་འཛིན་པ
知方便,ཐབས་ཤེས་པ
紛聒,ཀུན་ཏུ་ཅ་ཅོ་འདོན་པ
摩呾理迦,མ་མོ
寂滅,ཉེ་བར་ཞི་བ
未---惱亂,ཚེ་བར་མི་བྱེད་པ
疲,ངལ་བ
不可愛行相,མི་སྡུག་པའི་རྣམ་པ
斷行,སྤོང་བའི་འདུ་བྱེད
中間,བར་དུ
遠離,འབྲལ་བ
朋黨,ཕྱོགས
年衰老,འཁོགས་ཤིང་རྒས་པ
共爲助伴,གྲོགས་བྱ་བ
燒然,མེད
談話,སྨྲ་བ
貪濁,བརྐམ་ཆགས་ཅན
少聽聞,ཐོས་པ་ཉུང་བ
趣涅槃行,མྱ་ངན་ལས་འདའ་བར་འགྲོ་བའི་ལམ
非理作意,ཚུལ་བཞིན་མ་ཡིན་པ་ཡིད་ལ་བྱེད་པ
機務,བྱ་བ
無功用,ལྷུན་གྱིས་གྲུབ་པ
熾然明淨,གསལ་ཞིང་ཆེས་འོད་གསལ་བ
照了,གསལ་བ
眉間毫相,སྨིན་མཚམས་ཀྱི་མཛོད་སྤུ
不強,མི་རྩུབ་པ
聽聞事,ཐོས་པའི་དངོས་པོ
未得究竟,མཐར་ཕྱིན་པ་མ་ཡིན་པ
教導,ཡང་དག་པར་འཛིན་དུ་བཅུག་པ
發加行精進,བརྩོན་འགྲུས་རྩོམ་པ་ལ་སྦྱོར་བ
貪欲身蹫,བརྣབ་སེམས་ལུས་ཀྱི་མདུད་པ
令成熟,ཡོངས་སུ་སྨིན་པར་བྱ་བ
居寂靜,ནང་དུ་ཡང་དག་འཇོག་ལ་བརྩོན་པ
樹,ཤིང་ལྗོན་པ
遂求戒,ཕོངས་ཤིང་འདོད་པའི་ཚུལ་ཁྲིམས
皓首,མགོ་སྐྱ་བ
發聲,འབྱིན་པ
財敬供養,རྙེད་པ་དང་བཀུར་སྟིའི་མཆོད་པ
自利行,བདག་ལ་ཕན་པའི་ཕྱིར་ཞུགས་པ
大種造,འབྱུང་བ་ལས་གྱུར་པ
内思所成慧,བདག་ཉིད་ཀྱི་བསམ་པ་ལས་བྱུང་བའི་ཤེས་རབ
遊戲法,རྩེ་བའི་ཆོས
顯説,གསལ་བར་བྱེད་པ་དང་རྣམ་པར་གཞོག་པ
清淨靜慮定,དག་པའི་བསམ་གཏན་ལ་ཇི་ལྟར་སྙོམས་པར་ཞུགས་པ
發起悲愍,སྙིང་རྗེ
動{虚+予},ཆུད་གསོན་པར་བྱེད་པ
不出,མི་འབྱིན་པ
善了,ལེགས་པར་བརྟགས་པ
不求,དོན་དུ་གཉེར་བ་མ་ཡིན་པ
止息,ཤིན་ཏུ་སྦྱོང་བར་བྱེད་པ
香氣,དྲི
生苦,སྡུག་བསྔལ་སྐྱེས་པ
髑髏,ཐོད
受果,འབྲས་བུ་ཉམས་སུ་མྱོང་བར་འགྱུར་བ
一向趣,བགྲོད་པ་གཅིག་པ
棄捨,བོར་བ
來求索者,སློང་བ་པོ
無著智現前,ཆགས་པ་མེད་པའི་ཡེ་ཤེས་ལ་མངོན་དུ་ཕྱོགས་པ
大風卒起,རླུང་ལྡང་བ
諸王等,བློན་པོ་ཆེན་པོ
異不異,གཞན་ནམ་གཞན་མ་ཡིན་པ
上住,གནས་པ་གོང་མ
不威肅,མི་བཙུན་པ་ཉིད
惡,མི་མཐུན་པ
怨敵退伏,དགྲ་ཐུལ་བ
害尋思,རྣམ་པར་འཚེ་བའི་རྟོག་པ
宿住之念,སྔོན་གྱི་གནས་རྗེས་སུ་དྲན་པ
所焚燒,ཚིག་པ
讃頌,གྲགས་པ
心悦,སེམས་རངས་པ
常流言音,ཕལ་པའི་སྐད་ཀྱིས
於内受心法住循受心法觀,ནང་གི་ཚོར་དང་སེམས་དངཆོས་རྣམས་ལ་ཆོས་ཀྱི་རྗེས་སུ་ལྟ་ཞིང་གནས་པ
慧曜,ཤེས་རབ་གསལ་བ
足下善安住相,ཞབས་ཤིན་ཏུ་གནས་པ
佛子,སངས་རྒྱས་ཀྱི་སྲས
示現---既示現已,བསྙེན་ཅིང་སྟོན་པར་བྱེད་པ
轉根,དབང་པོ་རྣམས་ལེགས་པར་སྤྱོད་པར་བྱེད་པ
